gt_id,date,time,tz,app,category,event_type,direction,content,notes
GT001,2019-02-13,20:27,EST,imo,messaging,sign_in,,Signed In,
GT002,2019-02-13,21:05,EST,kik,messaging,sign_in,,Sign In,
GT003,2019-02-13,21:05,EST,Spotify,media,sign_in,,Signed In,
GT004,2019-02-13,21:06,EST,WhatsApp,messaging,sign_in,,Signed in,
GT005,2019-02-13,21:24,EST,TextNow,messaging,sign_in,,Signed In,
GT006,2019-02-13,21:25,EST,TikTok,social,sign_in,,Signed in,
GT007,2019-02-13,21:28,EST,Telegram,messaging,sign_in,,Signed In,
GT008,2019-02-13,21:29,EST,Wire,messaging,sign_in,,Signed in,NOT_RECOVERABLE_PACKAGE_ABSENT
GT009,2019-02-13,21:31,EST,Twitter,social,sign_in,,Signed in,
GT010,2019-02-13,21:33,EST,FacebookMessenger,messaging,sign_in,,Sign in,
GT011,2019-02-13,21:39,EST,System,power,charger_on,,On charger,
GT012,2019-02-14,07:14,EST,System,power,charger_off,,Off charger,
GT013,2019-02-14,07:14,EST,GooglePodcasts,media,download,,Downloaded Up First,NOT_RECOVERABLE_NO_SQLITE
GT014,2019-02-14,07:15,EST,GooglePodcasts,media,download,,Downloaded Stay Tuned with Preet,NOT_RECOVERABLE_NO_SQLITE
GT015,2019-02-14,07:19,EST,AndroidAuto,vehicle,vehicle_connect,,Connected to Vehicle,INDIRECT_ONLY
GT016,2019-02-14,07:21,EST,AndroidAuto,media,podcast_start,,Started Podcast Up First,INDIRECT_ONLY
GT017,2019-02-14,07:27,EST,AndroidAuto,navigation,directions_request,,Directions to the Starbucks in Fuquay Varina - Route A,INDIRECT_ONLY
GT018,2019-02-14,07:39,EST,AndroidAuto,navigation,directions_request,,Directions to 121 East Tryon Road Raleigh - Route A,INDIRECT_ONLY
GT019,2019-02-14,07:41,EST,AndroidAuto,media,podcast_start,,Started Podcast Stay Tuned with Preet,INDIRECT_ONLY
GT020,2019-02-14,08:19,EST,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT021,2019-02-14,12:53,EST,AndroidAuto,vehicle,vehicle_connect,,Connected to Vehicle,INDIRECT_ONLY
GT022,2019-02-14,13:23,EST,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT023,2019-02-15,06:20,EST,GooglePodcasts,media,download,,Downloaded Up First,NOT_RECOVERABLE_NO_SQLITE
